Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division
Boston Celtics*,57,25,.695,—,117.9,111.4,6.38
Philadelphia 76ers*,54,28,.659,3.0,115.2,110.9,4.37
New York Knicks*,47,35,.573,10.0,116.0,113.1,2.99
Brooklyn Nets*,45,37,.549,12.0,113.4,112.5,1.03
Toronto Raptors*,41,41,.500,16.0,112.9,111.4,1.59
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division
Milwaukee Bucks*,58,24,.707,—,116.9,113.3,3.61
Cleveland Cavaliers*,51,31,.622,7.0,112.3,106.9,5.23
Chicago Bulls*,40,42,.488,18.0,113.1,111.8,1.37
Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91
Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division
Miami Heat*,44,38,.537,—,109.5,109.8,-0.13
Atlanta Hawks*,41,41,.500,3.0,118.4,118.1,0.32
Washington Wizards,35,47,.427,9.0,113.2,114.4,-1.06
Orlando Magic,34,48,.415,10.0,111.4,114.0,-2.39
Charlotte Hornets,27,55,.329,17.0,111.0,117.2,-5.89
