Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,1C5dD6b45daEA89,Nicholson-Patel,https://www.santana.com/,Belize,Vision-oriented motivating access,1977,Capital Markets / Hedge Fund / Private Equity,2042
2,6db55f0FB43587E,Bender Group,https://bray.com/,Korea,Proactive client-server initiative,1991,Wine / Spirits,6858
3,AFce0E73cdD9eda,Banks-Fletcher,https://goodwin.com/,Malawi,Profit-focused exuding encryption,1970,Mining / Metals,3843
4,da164D72178140b,Sullivan-Miranda,http://www.santana-johnston.com/,Jordan,Future-proofed motivating methodology,1993,Writing / Editing,1092
5,3f4C29fBD260CA1,"Gentry, Reed and Conway",http://compton.net/,Cyprus,Face-to-face dynamic data-warehouse,2007,Consumer Electronics,2266
6,d25BCFbE31f9ebe,Dickson PLC,https://mccarty-logan.com/,Macedonia,Face-to-face 24hour focus group,1990,Recreational Facilities / Services,2344
7,453a5DdDfCEcCFC,"Coleman, Hodges and Johnston",http://www.kennedy.com/,Chad,Synchronized client-server complexity,1976,Oil / Energy / Solar / Greentech,1978
8,9E0a7eE79264bAC,"Brewer, Silva and Moran",http://www.stewart.com/,Turkey,Stand-alone dynamic capacity,2020,Arts / Crafts,8554
9,dB503EC7DAc2C61,"Wiley, Johnson and Lowery",http://www.murphy-brewer.com/,Armenia,Configurable fresh-thinking software,2011,Information Technology / IT,6534
10,883b8a306b903B3,Hunter-Santana,http://www.spence.com/,India,Inverse dynamic database,2002,Management Consulting,3047
11,EFfa96e1cA6daC8,Sellers-Alvarez,http://juarez.com/,Poland,Optimized regional superstructure,1998,Transportation,6085
12,9ff9cBfE1a1c8DF,Colon-Klein,https://duffy-hays.com/,Equatorial Guinea,Seamless systematic hierarchy,1987,Accounting,2807
13,b95084ce0499d23,Gallegos LLC,https://rich.org/,Morocco,Multi-lateral coherent challenge,1977,Research Industry,703
14,FCdB4Dec2Bb3eeB,Lozano-Buck,http://www.collier.net/,Cook Islands,Polarized client-server process improvement,1993,Mechanical or Industrial Engineering,2037
15,6bEABc00774c991,Poole Inc,https://campos-cobb.net/,Saint Pierre and Miquelon,Fundamental secondary utilization,1978,Health / Fitness,7056
16,4Aae269c42B8eDE,Payne-Moyer,http://www.church-middleton.com/,Indonesia,Vision-oriented encompassing migration,2019,Consumer Services,8401
17,A2fB834Ff1EFE9E,Terry PLC,http://www.nolan-barajas.com/,Singapore,Open-architected neutral strategy,2010,Media Production,118
18,9aaAa01A5F53996,"Patterson, Trevino and Nelson",https://burke.com/,Congo,Organized zero tolerance task-force,2018,Leisure / Travel,1279
19,fF19F7FE53F3bcd,"Holmes, Ramirez and Poole",http://compton-howard.biz/,Tonga,Operative exuding Graphic Interface,2012,Leisure / Travel,3256
20,4BaE3F82BB2dbeA,Callahan-Barnes,http://cunningham-terry.com/,Netherlands,Integrated empowering analyzer,2017,Nanotechnology,4658
21,8Cd13aDF56AB5e3,Decker-Patrick,http://harrington.com/,El Salvador,Centralized content-based success,2007,Higher Education / Acadamia,3834
22,ECcaB1863D5F4DB,Reyes-Benson,http://eaton.com/,Mayotte,Customer-focused cohesive success,1978,Public Safety,9091
23,16445bFCcc873Da,Benjamin and Sons,http://rivers-case.com/,Andorra,Assimilated dedicated superstructure,2009,Medical Practice,7047
24,6D602e499dCBD1C,Bell LLC,http://www.figueroa.biz/,Western Sahara,Switchable logistical extranet,2000,Nanotechnology,3561
25,A8cB7ccefe2dBED,Silva PLC,https://www.lewis-barnett.com/,Slovenia,Polarized system-worthy framework,2010,Other Industry,9045
26,cBa354f28cA1EFA,"Salas, Torres and Howell",http://www.cardenas.com/,Comoros,Reactive multi-tasking forecast,1970,Plastics,3334
27,BEe41fBE61DD8B9,"Krueger, Santana and Griffin",http://cannon.com/,Sri Lanka,Adaptive analyzing forecast,1979,Newspapers / Journalism,8482
28,C4BDF21dF72Ff4f,Mcdonald PLC,http://buck.com/,Svalbard & Jan Mayen Islands,Assimilated tangible middleware,1987,Law Enforcement,3719
29,6948CFbeBdEe08F,"Holmes, Neal and Adkins",http://russo.com/,Lithuania,Advanced 24/7 success,2006,Individual / Family Services,2150
30,550568f675af8c6,Larsen Inc,https://glenn.com/,Cayman Islands,Switchable multimedia productivity,2018,Warehousing,153
31,DcCeEdc15B91cFe,Buchanan-Marquez,https://ponce.org/,Liberia,Phased tertiary flexibility,1977,Food / Beverages,1453
32,A0DF4EcBDfdf8FB,Kennedy-Mccoy,https://gallegos-atkinson.com/,Sierra Leone,Triple-buffered 6thgeneration superstructure,1979,Restaurants,6033
33,De9334A5bFAe54F,Marquez and Sons,http://gillespie.org/,Congo,Quality-focused hybrid analyzer,2013,Broadcast Media,6237
34,5eF23ee4Aa79ABd,Todd-Blankenship,http://blanchard.com/,Tanzania,Proactive system-worthy website,1988,Supermarkets,6437
35,fdc81FbfBE9fc7d,Johnston-Vasquez,http://baldwin.biz/,Sudan,Enterprise-wide high-level leverage,2008,Government Administration,445
36,7C5e5d517F8fDc5,"Roach, Gutierrez and Moses",http://frederick.com/,Micronesia,Exclusive well-modulated archive,1976,Wholesale,9351
37,Ca4401Af0a0Cb0F,"Ritter, Spence and Christensen",http://www.mccall.org/,Estonia,Multi-channeled logistical knowledge user,1977,Biotechnology / Greentech,5888
38,8bAFDC31fFD3444,Carter-Wilkins,https://leblanc.com/,Puerto Rico,User-centric mobile utilization,2000,Medical Practice,8227
39,aEDD3B1F05016A4,Thompson PLC,https://www.bryan.com/,Tunisia,Total analyzing circuit,1979,Other Industry,6114
40,BD6e0EE23DA4Ff3,"Mayer, Molina and Robles",http://www.lin.com/,Uzbekistan,Expanded 24hour data-warehouse,1995,Newspapers / Journalism,2206
41,1A48AEB0E6f3caa,Garza-Snow,https://www.peck.net/,Korea,Optimized asymmetric parallelism,2007,Staffing / Recruiting,8714
42,fF777f4D24c7Bc5,"Fuentes, Doyle and Cole",http://www.green-curry.com/,Central African Republic,Right-sized client-driven extranet,2021,Transportation,7909
43,45d26cab58ddA18,"Acosta, Middleton and Rowland",https://www.madden.com/,Brunei Darussalam,Enterprise-wide client-driven budgetary management,1971,Program Development,9520
44,409B74A24CFFAfb,Avery-Hodges,http://www.middleton.net/,Malawi,Diverse fresh-thinking hierarchy,1988,Consumer Electronics,9853
45,Bc00C91358B9b05,Cantu-Fisher,http://hampton.com/,Saint Lucia,User-friendly fresh-thinking Graphic Interface,1990,Mechanical or Industrial Engineering,2866
46,bC86B524eAeD8E7,Butler-Estes,https://www.lopez.com/,Tanzania,Streamlined discrete knowledgebase,2016,Government Administration,9411
47,EDd10dFCc694f86,"Stevens, Gonzales and Walsh",http://jensen.biz/,Norfolk Island,Configurable attitude-oriented access,1998,Alternative Dispute Resolution,3122
48,edfF2f754d68Cf5,Hernandez and Sons,http://www.pearson-cook.biz/,Austria,Polarized high-level Local Area Network,1981,Mechanical or Industrial Engineering,5920
49,B30EEe6CBD5CdEF,Harrison and Sons,http://stanley.com/,Dominica,Re-engineered solution-oriented application,1995,Building Materials,7000
50,f12F1E81aAE24c8,Joyce LLC,http://www.nichols.com/,Dominica,Profound human-resource orchestration,1999,Design,3035
51,52D4c5aAbAeA6ee,Velez-Arnold,http://www.mueller.com/,Mayotte,Programmable explicit productivity,1980,Music,6285
52,FCF7AA4532F4bF8,Hensley-Nicholson,https://www.wiley-cohen.org/,Yemen,Up-sized exuding time-frame,1985,Military Industry,1518
53,B84bC17eDcdB383,"Ellison, Wells and Huang",http://weiss.com/,New Zealand,Up-sized secondary application,2013,Logistics / Procurement,3439
54,46CAF07B3fcfAdB,Manning-Austin,http://www.kim-dyer.org/,Romania,Automated multi-tasking data-warehouse,2019,Health / Fitness,4453
55,5AE9FAFc247f2Cd,Mcbride-Hartman,http://villa.net/,Ecuador,Phased real-time groupware,2005,Computer Software / Engineering,5242
56,34A3ceb3520F10F,"Tate, Mccoy and Harvey",https://goodman-carlson.com/,Barbados,Future-proofed systemic core,1996,Business Supplies / Equipment,5963
57,64E11562da3e1bF,Mercer-Mcintosh,https://chavez.com/,Iceland,Customizable responsive open system,1970,Mechanical or Industrial Engineering,9067
58,bBE27BC3Dd8431A,Blankenship-Clements,https://www.donovan.com/,Japan,Persistent demand-driven neural-net,1970,Other Industry,6987
59,fCCB6f03fC13fD7,Coffey-Potter,https://www.forbes.com/,Germany,Advanced eco-centric orchestration,1990,Alternative Medicine,9542
60,00E1Cc56093F0CC,"Villanueva, Peterson and Mcdonald",http://www.rodgers-orozco.com/,Russian Federation,Proactive optimizing Graphical User Interface,1974,Religious Institutions,4685
61,F37318D55EE7A1f,"Dickson, Frey and Shepherd",http://davis.org/,Afghanistan,Sharable regional approach,1987,Sporting Goods,7273
62,1bAD9B16c0185eC,Greene Ltd,http://www.holden.info/,Cote d'Ivoire,Progressive homogeneous success,1998,Professional Training,6138
63,6fcbB82071B3B81,"Lambert, Holder and Burke",https://www.kim-campos.com/,Mali,Intuitive intangible attitude,1988,Shipbuilding,8364
64,Dc1aFa7FB38AfB6,Beasley-Morgan,http://www.espinoza-hodge.com/,Liechtenstein,Face-to-face next generation application,2010,Veterinary,5648
65,ee4Bf59cC8d6EEf,"Boyd, Vincent and Rowland",https://lopez-booth.com/,Moldova,Fundamental full-range productivity,1988,Government Relations,6816
66,CcFfDeC10FdD28e,"Simpson, Fry and Bright",https://www.soto.biz/,Denmark,Decentralized intangible methodology,1999,Consumer Goods,8937
67,cda0D427F447a3a,Fitzpatrick Ltd,https://www.browning.com/,Martinique,Monitored leadingedge support,1994,Events Services,2298
68,D2D1A2dAA48C593,"Melendez, Melendez and Manning",http://li.info/,Czech Republic,Operative empowering utilization,2003,Primary / Secondary Education,1291
69,e7cFEEDe2Db9CBF,Sparks PLC,https://howard.com/,Kiribati,Switchable user-facing monitoring,2022,Information Services,9311
