name1,name2,label
PAWPLANET USA,PAW PLANET,1
CUVEE COFFEE,WAVE,0
BRIO,VIDVIS,0
RIGH SIGN,QVR,0
NIPSEY HUSSLE,NIPSEYLAND!,1
DEARBODY,BENIX,0
ANGRYWIN,REEL SHORTS,0
BEAR STUFF CLEANER,BEAR CLEAN,1
[Design Mark],BG,1
MYSTIC PROMOTIONS,MYSTIC COLLECTION PANDA- LICIOUS,1
IMMUNOSHIELD,GYRO,0
W.O.W. ACADEMY,GEMU,0
P PENTAHEALTH,UVTAOYUAN,0
BAMBINA BLUE,SKY COFFEE CO. SANTA FE,0
DRI-FIT,POLAR HEAT NANUUQ,1
HOOM,PEANUTBOX,0
ÉBLOUISSANT,AMERICA'S SLEEP AID,0
CLS,CLS,1
PORBELA,PERBELLA,1
AZA,AZZA FENCING,1
AILOVORE,ALOVAIRE,1
WEB4,AURA SALONWARE,0
SELF LOVE CLUB,SELF LOVE HAIR CLUB,1
INTERMEDIARY,WEALTH INTERMEDIARY,1
THREE BY BERKSHIRE HATHAWAY,OPEN SKY FITNESS,0
RAINBOW REEF,REEF,1
ROVER,ROVER RIDGE,1
TOP CHEESE HOCKEY,FUN CRAFTS INTERNATIONAL,0
RAM TOUGH,RAMSTRONG,1
CENTURION DIAMOND,REBECCA BEAUTY,0
EARLY MORNING,LEQINGCHEN,1
AVIVA LABS,AVIVA PURE,1
SPELLSLINGERS,SPELLSLINGERS SPEAKEASY,1
EMOTIONAL SUPPORT,EMOTIONAL SUPPORT SHARK,1
INTECH,UNEEK FIND IT,0
TRAPPED WORLDWIDE,TRAP TEES WORLD WIDE,1
CARTEL,CARTEL,1
WEB42,ORIGTIGER,0
AVILÊ“,COLLAB,0
MATCHED,MYTH MINI,0
SHEGAZZI,SHEGAZZI,1
ZAR,ZAR,1
VKYN,KLYR,0
INFOSYS TOPAZ,TOPAZ,1
ENHANCED ESTÉTIC,BAUDELAIRE,0
VIVIANNA,VIVIANA,1
GRAZE POINT,BILLORANGE,0
HOUSE HARMONY,OTD ONTHISDAY,0
TANAGER GROUP,TANAGER,1
VERSA,CREATBOT,0
LAKOTA MADE,LAKOTA MADE,1
FORTIS FILMS,EX FORTIS,1
PAWPLANET USA,LONESTAR FRAGRANCES,0
LAGO DI COMO SWIM CLUB - SEMM CUMASCH -,PULLNOMORE,0
WISE TAX SOLUTIONS,ELEMINT,0
ZAAR,ZAR,1
ROYALAIR,ROYAL AIR MAROC,1
SAMRA ORIGINS,MX SELECT,0
QSCOPE,SORA STORM,0
HANDY SIZE,CERTIFIED TAX SPECIALIST,0
U.S. SOCCER,ITâ€™S CALLED SOCCER,1
SAKKIJHA JEWELRY,UNLIMITED ART PROJECT,0
BODY BY CALA,BEAUTIKIA,0
THE BRAND ACCELERATOR,INSPIRING LEADERS,0
DIVA,DIVA LIFE,1
ROYALAIR,TIK TOK MAN,0
ELEMINT,EZZOMY,0
RIVERVIEW GLOBAL MACRO FUND,PARAPRO,0
MAXXOUT,MAXOUT360,1
OASIS SENIOR ADVISORS,OASIS FAMILY CARE,1
FLUM,FLUM CAKE,1
THE VAULT BY SITA 1910,THE VAULT,1
URBAN ACTIVE,URBANACTIVE,1
LA STUDIOS,BIOWAVE.AI,0
AI ALL IN,ALL IN,1
BEAUTIFUL BUSINESS,PATHSOCIAL,0
MAXOUTSPORTS,PALEQI,0
NEON NIGHTS,PUREVIVE,1
CIRCLE OF LIFE,CIRCLE OF LIFE ALZHEIMER'S HOMES,1
BITE CREW ATL,NYE IN THE ATL NYE ATL,1
PP PHIMOTA,PHIMOTA,1
ETERNAL HAIR,ETERNABEAUTY,1
L'OR J'ADORE,GREATIFFANYY,0
BIRKHÄUSER,BIRKHÅ•SER,1
SUBURBAN SOLUTIONS,RE-BORN SKINCARE,0
SIMBA,SENTIENT BLUE,0
50 SUPER BOLD COMEDY,VINORE,0
MEETYOO,MEETYOOO,1
EQUINOX 21/22,STRIDE FINANCIAL,0
SONORA CARRUSELES,ART IS ALIVE AND WELL,0
PROTECT IT,LOMMIE,0
LUCID,GIGGLYGYRO,0
CHEZ OLAF,ENERZYCELL,0
ESTRELLA NEGRA BLACKSTAR,BLACK STARZ,1
SILK,THE LAST AIRBENDER,0
BAG PARTY,BAG PARTY,1
WOOF,WUFFS,1
BIOTOPLEVEL,BIOTOP,1
UNIVERSAL,UNIVERSAL HOLISTIC ENTERPRISES,1
HEALTH HIPPIE M.D.,THE HOLISTIC HIPPIE,1
ANGEL HEAT ANGEL HEAT BED WARMER,VIGOR BELL,0
STRONG BUILDING CONSTRUCTION,STRONG TOWER CONSTRUCTION,1
ALASKA NUVISION CREDIT UNION,VA VAULTATLAS,0
AQUA HOME CARE,HEART OONA HEALTH+,0
LOOK GOOD. FEEL GOOD.,"LOOK GOOD, FEEL GOOD, DO GOOD",1
ART OF ONE DOJO,D&L,0
MYSTIC COLLECTION GOLDEN CLIMBER,HOLLEY EFI,0
THE HOUSE OF HAIR WE. LOVE. HAIR. LOS ANGELES,REMARKABLE,0
K.I.C.K.S (KNOWLEDGE IMPACTING CREATIVE KIDS SUCCESS),MINDTITAN,0
SOUL PET,I KNOW A GUY,0
E ESSENTIALSERA,THE BRAND ACCELERATOR,0
OAKLYNN LANE,THEWE,0
SENSE,VYSTAR PERKS,0
YODELS,YUDON,0
REBUNDLE,RAWBUNDLLE,1
REBUNDLE,RAWBUNDLLE,1
CHILLROVER,OMNI BEACH LIFE OBL SWIMWEAR,0
WOW!,UNBOUND ENERGY,0
OCEAN REEF CLUB,REEF,1
GATEWAY,GATEWAY SPECIALTY INSURANCE A BERKSHIRE HATHAWAY COMPANY,1
[Design Mark],[Design Mark],1
REEF RETREAT MEDSPA,REEF,1
VIBE CHECK,VIBE SCORE,1
TALKATONE,EPIK REALTY,0
RESOLVE-IT,RESOLVE THERAPEUTICS,1
MODERN,MODERN,1
SKIMI,SKYMI,1
FISKER,COMMA PARTNERS,0
CLEVELANDER SOUTH BEACH,GRAY,0
GOODIES,KIDDOSGOODIES,1
AURA VISION,AURA,1
REP METHODS,METHODS,1
LUWOO,LUWO,1
PREVINEX,PREVONIX,1
ORBITCMD,LAKOTA MADE,0
CMK,CMK,1
JUMBOPAWS,JUMBO PETS,1
HAIR NOW,ZEN,0
DOBYE,DOBYE,1
ONE-TO-ONE PRIVATE SCHOOL,LOST GEEK THC,0
MASSIF,MASSIV BRANDS,1
WEALTH INTERMEDIARY,ALOVAIRE,0
BPS,EGGHEADS,0
DIEM,REDIEM,1
COLIBRE,TURQUOISE ENVIRONMENTAL,0
PROVIDENCIA,PROVIDENCIA,1
SKYLER + JONES,SKYLAR,1
ZETA ROD,ZETA,1
LITTLE SLEEPIES,X-GAN,0
CLOSCA,LOSCA,1
AURA,AURA,1
REAP,REAPP,1
KRACKEL,U,0
ORIGIN BUILT,LIFTIQUE,0
INTERSHOP,INTER INTR SHOP,1
HIGHREZ  TRANSFERS.,ENLYT,0
NEWCOAST FINANCING. INSURANCE. ADVENTURE.,NEWCOAST REAL ESTATE,1
CALYX,CALYX,1
OLAGEN,OLAGEN,1
JUST JOSH'N,FENIX SPORTIER,0
GET IN THE KITCHEN,VITABLOOM SCIENCES,0
THE ELIXIR ARCHIVE,METRIC BIO,0
EASELIFT,MELT CHOCOLATIER,0
HOW LEADERS LEAD WITH DAVID NOVAK,"PRO GROUP CAPTIVE MANAGEMENT SERVICES, INC.",0
UNRIVALED WOMEN'S BASKETBALL LEAGUE,SEEN & HEARD METHOD,0
THE LAB,LE LABO INC. MANUFACTURERS OF FINE PERFUMERY 233 ELIZABETH STREET NEW YORK CITY,1
RINGG,ENERGIZED LIFE,0
RYDE: YOUR RHYTHM,RYTHYM,1
MINNESOTA PICKLEBALL,BEE HAPPY,0
ANABOLIC RESEARCH LABORATORIES,ANABOLIC LABORATORIES,1
WE RICH,RON MERITO,0
KLZZF,HAWKEYE,0
PUREVE,PUREAVE LABS,1
JENGA XXL,HAOHUANLUO,0
OOLA,OOLAA,1
ORIGIN SILKY SMOOTH,BARREL ONE COLLECTIVE,0
PINELANDS INSTITUTE FOR NATURAL AND ENVIRONMENTAL STUDIES,SECUREPLUS,0
MORNING ROOSTER TEA,ARTHUR KRUPP PORCELAIN,0
FHS,FHS,1
EMY DOLA,CASSIUS CUVÉE,0
MODERNGARDEN,TENAMPA,0
JANUS ENTERPRISE FUND,JANUS MORTGAGE,1
PIXEL WORLDS,MINE PIXEL WORLD,1
F3 ENERGY,F3,1
MELANATED QUEEN,MELANATED KING,1
PROPELLER INDUSTRIES,PROPELR,1
MAESTRO,BK BABY K'TAN,0
INTERRADISH,RICCAR MULTI-CLEAN,0
BE HOME,MEDICI,0
OLIVE,OLIVE,1
VOGUELE,COMPASSIONATE CANNABIS,0
MIA FEMTECH,LESLIE PRYOR,0
THE GIFT OF TIME,GOLARY,0
RAW BODY MEDICAL SPA BY DR. RABADI,RAW BODY CO,1
ROARINGKITTY,HAZELDEN BETTY FORD,0
TRINITYCYBER,CYBERSECURITY TRINITY,1
LOST GEEK THC,HOMETOP,0
FOAN & MABLE,MASON & MABLE,1
OTD ONTHISDAY,OTD,1
REVA,REVA,1
RAZOR,QUREDOSE,0
SOVEREIGN NATURALS,SOVEREIGN LABS,1
GPI,ACERVUS,0
VZION,RX MANE PRESCRIPTIONS,0
PSYCHONAUT APPAREL,PSYCHONAUT,1
SSS·URBANFORESTS,SSS,1
PALO,PALO TEA & HERBS,1
SUSTAINABLE PLANET,GETWIRED,0
CAREERMETRICS,FLOWER FAIRY,0
DREAM ACADEMY,TAILORED DREAMS ACADEMY,1
PRECIOUS,PRECIOUS,1
RISING TIDE CAR WASH FREE VACUUMS,RISING TIDE CAR WASH,1
PHIMOTA,PHIMOTA,1
CALA THE FUTURE OF THERAPY IS WEARABLE,SOUL BY CALA,1
MEDMINDED,SAINTCOS,0
WEEKENDERS,EHIW,0
FUCK THIS SHIT SHOW,SHIT SHOW,1
AE,[Design Mark],1
OKIE DOKIE,RIPPLE EFFECT LEADERSHIP,0
LEVEL UP,LEVEL UP CLOTHING,1
YALA,YALASNAX,1
REDD'S WICKED,ECOCATERS,0
SIGNATUREWRAP,FUR BUDDIES,1
XKSS,XKSPOWER,1
SIREN'S REEF,REEF,1
BASED EXPERIMENTS,MERAKI WELLNESS,0
NIKE,NKE SAFETY APPAREL,1
GO,GO PARTNERS.,1
BALCO,BELCO,1
HERA'S PALACE,HERA'S PALACE,1
THE LOVE TOOTHBRUSH,LOVE BRUSH,1
MOONICHY,MOONGCHY,1
BREAD BRAZIL BAKERY,DAILY FRESH AND TASTY BREAD BRAZIL BAKERY CAFE,1
SATOSHI,SATOSHIO'S,1
LIFE IS STRANGE: DOUBLE EXPOSURE,STRANGE LIFE,1
SOLÉ MED SPA,SOLÉ STUDIO,1
AURA,AURA,1
CELESTE,CELESTE,1
CAT DADDY,CAATDADA,1
FORTEMOTUS,FORTEMOTUS,1
FATBOY FITNESS WORLDWIDE,TITAN GROWTH SYSTEMS,0
SUTRA,SUTERA,1
ROVER PACK,TREES OF HOPE BOYD,0
DOMLYTICS,NORWEGIAN DAWN,0
KING JERKY,AMERICAN JERKY KING,1
NEWDON,NEWDUN,1
AV AUTO VAULT,THE VAULT,1
AVILES,VENICCI,0
PAWPLANET USA,PAW PLANET,1
JB RACKS,BRING IT THE YEAR GEAR CLOTHING COMPANY,0
LIPS U PUCKER,LIP PUKERS,1
CAVEGAMERS,CARTRIDGE CAVE,1
GIANFRANCO FERRE,IMMUNIBOOST,0
NEVER BEEN NORMAL,NEVER BEEN NORMAL,1
HAOKOO,HAOKOO,1
NEXT GENERATION SERVICES,NIPSEYLAND!,1
SCENT SMILES,DLP CAPITAL,0
BOLINAILO,BOLINTERI,1
JUJUBES,TUFF TAILZ FOR WAGGY PETS,0
MULTI-CLEAN,RICCAR MULTI-CLEAN,1
ABODE HOMEWARES,ABODE NEW YORK,1
COLLABS,GET YOUR SLOPPY ON,0
HOBEA-GERMANY,HOBAES,1
TEASE UNIVERSITY,SKIMI,0
EFFORTLESS FLOW,VROOMJOY,0
BALADE,BALADI COFFEE,1
GROFULLY,GROWFULL,1
REAP,M,0
EX FORTIS,BEAUTI SORA,0
FLAVOR FORGED IN FLAME,FLAVOR FORGE,1
LUXILAV,R REMAN,0
HOUSE OF THE DYING SUN,DYINGSUN,1
DOÒ BIBIS,ON POINT RENTAL CARS LLC,0
ABODE HOMEWARES,LOCKABOX,0
COMFY FEET,COMFEET COMFORT SOCKS,1
CAZADORES,CAZADORCO.,1
TOP TIER MOTORCYCLE SERVICE,TOP TIER AUTOMOTIVE,1
BLACK SMOKE PODCAST,BLACK SMOKE,1
OASIS,OASIS,1
AOKESI,HANGABOUTS,0
MAXOUTSPORTS,MAXOUT360,1
TAPATIO,TAPATIO SPRINGS,1
ONE TO ONE CLASSROOM,ONE2ONE,1
E.TERRA,E.TERRA,1
SOUL PET,PENTA SENIOR LIVING,0
SHORT REELS,ECO INFINITY,0
MYSTIC ENTERPRISES,MYSTIC COLLECTION PANDA- LICIOUS,1
BEAUTI SORA,EO,0
S STRYKERUSA,STRYKESPORTS,1
EVO,EVO,1
WELLSPRING,WELLSPRING NUTRITION,1
VALOR NETWORK,THE BANG BANG BAR,0
VETERANS OF FOREIGN WARS OF THE UNITED STATES,FOREIGN WAR VETERANS VERANI ADHUC SERVANTIS MC,1
SAVAGE AND SAINT,REEF - LIFE,0
EASY HOME RENTALS,SAC SALT&CHOCOLATE,0
CALA UNIVERSE 360,FIRE FURY,0
BASIC,BASIX FOR MEN,1
CONDOR ALERTS,THE ROSE HOUSE,0
SPORTS & MORE,INFOSYS TOPAZ,0
ONKAI,EMBER ROASTING CO.,0
IEQ,MY BAR,0
PRICED RIGHT,CAFÉ INDULGE,0
FORTEMOTUS,QRKIEZ,0
H HAVENORA WHERE COMFORT MEETS LUXURY,MASH FASHION,0
ROYAL RHINO,ROYAL RHINO,1
AV AUTO VAULT,THE VAULT,1
WHISKY GALORE,LIQUORS GALORE,1
BIGTINCAN,TIN CAN,1
INTUIT,INTUIT TRAINING ACADEMY,1
PUREPET,PUREPETS NATURAL,1
TREE OF HOPE,JAYSHYNE,0
AKOMPLICE,ACCOMPLICE(S),1
AZUL HOSPICE & PALLIATIVE CARE AHPC,POLYMATH PRODUCER,0
CHALLENGER,PROFESSOR CHALLENGER,1
ALDER,ALDERCANE,1
BAUDELAIRE,BAUDELAIRE,1
THE TORCH,JUSTICE,0
ZAR,ZAR,1
YOU SHIP IT. WE PROTECT IT.,DISTINCTIVE SPORT,0
TRISKELE,ACTIONABLE INTELLIGENCE,0
STURGEON QUEEN,ACE & CO,0
AURA NEXT,AURA,1
GOLDEN TAZO,INNOVIX LABS,0
HOMLYRIC,SIGNATURE SPACE,0
AUREUM,VELLUS AUREUM,1
OFFROAD BAJA PRO,ZUBI,0
GOFUNDME,GOFUNDME GIVING FUND,1
MR. TOOL,MRDIYTOOLS,1
SOLIS Y LOS TRES HERMANOS,SOLIS Y LOS TRES HERMANOS,1
XIXIBOUTIQUE,XIXICARE,1
FRACTAL,PAWS&TAILS,0
TADPRO,TAD,1
TARKOR,ODIN'S INNOVATIONS,0
THERMICHEF,WUFFS,0
ROYAL RHINO,SEE BETTER. LIVE BETTER.,0
SPORTIER,FENIX SPORTIER,1
MLE,XIXIMENG,0
CALFREE,FIREBORN,0
THE ROCKEFELLER UNIVERSITY,ROCKEFELL BIOL,1
TKTX INTERNATIONAL,BUILDINGSENSE,0
HUSSINDAY,GDSIWA8,0
COTTON CANDY SKIES,BKAY'S,0
CTCS CERTIFIED TAX CONTROVERSY SPECIALIST,CERTIFIED TAX SPECIALIST,1
TANGL,OLIVE OLE,0
LAKESHORE PUBLIC TELEVISION,LAKESHORE FIBER,1
BOX BOX COFFEE,BOX BOX FOOD TO SHARE,1
PROACTIVA,VIGULIE,0
SMAART SKILLS,TOMOPETIME,0
GRO-WITH-ME,LUMINOR QUARANTA,0
